video_id,trending_date,title,channel_title,category_id,publish_date,time_frame,published_day_of_week,publish_country,views,likes,dislikes,comment_count
2kyS6SvSYSE,17.14.11,WE WANT TO TALK ABOUT OUR MARRIAGE,CaseyNeistat,22,13-11-17,17:00 to 17:59,Monday,IN,748374,57527,2966,15954
1ZAPwfrtAFY,17.14.11,The Trump Presidency: Last Week Tonight with John Oliver (HBO),LastWeekTonight,24,13-11-17,7:00 to 7:59,Monday,GB,2418783,97185,6146,
5qpjK5DgCt4,17.14.11,"Racist Superman | Rudy Mancuso, King Bach & Lele Pons",Rudy Mancuso,23,12-11-17,19:00 to 19:59,Sunday,AU,3191434,146033,5339,8181
puqaWrEC7tY,17.14.11,Nickelback Lyrics: Real or Fake?,Good Mythical Morning,24,13-11-17,11:00 to 11:59,,BR,343168,10172,666,2146
d380meD0W0M,17.14.11,I Dare You: GOING BALD!?,nigahiga,24,12-11-17,18:00 to 18:59,Sunday,CA,2095731,132235,1989,17518
gHZ1Qz0KiKM,17.14.11,2 Weeks with iPhone X,iJustine,28,13-11-17,19:00 to 19:59,Monday,IN,119180,9763,,1434
39idVpFF7NQ,17.14.11,Roy Moore & Jeff Sessions Cold Open - SNL,Saturday Night Live,24,12-11-17,5:00 to 5:59,Sunday,IN,2103417,15993,2445,1970
nc99ccSXST0,17.14.11,5 Ice Cream Gadgets put to the Test,CrazyRussianHacker,,12-11-17,21:00 to 21:59,Sunday,GB,817732,23663,778,3432
jr9QtXwC9vc,17.14.11,The Greatest Showman | Official Trailer 2 [HD] | 20th Century FOX,20th Century Fox,1,13-11-17,14:00 to 14:59,Monday,BR,826059,3543,119,340
TUmyygCMMGA,17.14.11,Why the rise of the robots wonÃ¢â‚¬â„¢t mean the end of work,Vox,25,13-11-17,13:00 to 13:59,Monday,GB,256426,12654,1363,2368
9wRQljFNDW8,17.14.11,Dion Lewis' 103-Yd Kick Return TD vs. Denver! | Can't-Miss Play | NFL Wk 10 Highlights,NFL,17,13-11-17,2:00 to 2:59,Monday,GB,81377,655,25,177
VifQlJit6A0,17.14.11,(SPOILERS) 'Shiva Saves the Day' Talked About Scene Ep. 804 | The Walking Dead,amc,24,13-11-17,3:00 to 3:59,Monday,JP,104578,1576,303,1279
5E4ZBSInqUU,17.14.11,Marshmello - Blocks (Official Music Video),marshmello,10,13-11-17,17:00 to 17:59,Monday,BR,687582,114188,1333,8371
GgVmn66oK_A,17.14.11,Which Countries Are About To Collapse?,NowThis World,25,12-11-17,14:00 to 14:59,Sunday,IN,544770,7848,1171,3981
TaTleo4cOs8,17.14.11,SHOPPING FOR NEW FISH!!!,The king of DIY,15,12-11-17,18:00 to 18:59,Sunday,GB,207532,7473,246,2120
kgaO45SyaO4,17.14.11,The New SpotMini,BostonDynamics,28,13-11-17,20:00 to 20:59,Monday,CA,75752,9419,52,1230
ZAQs-ctOqXQ,17.14.11,One Change That Would Make Pacific Rim a Classic,Cracked,23,12-11-17,17:00 to 17:59,Sunday,BR,295639,8011,638,1256
YVfyYrEmzgM,17.14.11,How does your body know you're full? - Hilary Coller,TED-Ed,27,13-11-17,16:00 to 16:59,Monday,BR,78044,5398,53,385
eNSN6qet1kE,17.14.11,HomeMade Electric Airplane,PeterSripol,28,13-11-17,15:00 to 15:59,Monday,IN,97007,11963,36,2211
B5HORANmzHw,17.14.11,Founding An Inbreeding-Free Space Colony,SciShow,27,12-11-17,22:00 to 22:59,Sunday,GB,223871,8421,191,1214
vU14JY3x81A,17.14.11,How Can You Control Your Dreams?,Life Noggin,27,13-11-17,14:00 to 14:59,Monday,IN,115791,9586,75,2800
6VhU_T463sU,17.14.11,The Making of Hela's Headdress from Thor: Ragnarok,Tested,28,12-11-17,15:00 to 15:59,Sunday,US,224019,3585,138,208
_-aDHxoblr4,17.14.11,Is It Dangerous To Talk To A Camera While Driving?,Tom Scott,27,13-11-17,16:00 to 16:59,Monday,BR,144418,11758,89,1014
JBZTZZAcFTw,17.14.11,"What $4,800 Will Get You In NYC | Sweet Digs Home Tour | Refinery29",Refinery29,26,12-11-17,16:00 to 16:59,Sunday,AU,145921,1707,578,673
lZ68j2J_GOM,17.14.11,Using Other People's Showers,Gus Johnson,23,13-11-17,14:00 to 14:59,Monday,IN,33980,4884,52,234
dRpNZV18N_g,17.14.11,SPAGHETTI BURRITO VS SPAGHETTI BURRITO,HellthyJunkFood,24,12-11-17,14:00 to 14:59,Sunday,JP,223077,8676,193,1392
fcVjitaM3LY,17.14.11,78557 and Proth Primes - Numberphile,Numberphile,28,13-11-17,12:00 to 12:59,Monday,JP,80705,4687,41,437
